Number,Common Name,Scientific Name,Count,Location,Date,LocID,SubID
84,Yellow-rumped Warbler,Setophaga coronata,1,Central Park,04 Apr 2023,L191106,S132671894
83,Palm Warbler,Setophaga palmarum,1,Central Park,04 Apr 2023,L191106,S132671894
82,Louisiana Waterthrush,Parkesia motacilla,1,Central Park,03 Apr 2023,L191106,S132627594
81,Winter Wren,Troglodytes hiemalis,1,Central Park,03 Apr 2023,L191106,S132627594
80,Long-eared Owl,Asio otus,1,Central Park,03 Apr 2023,L191106,S132627594
79,Field Sparrow,Spizella pusilla,1,Roosevelt Island,31 Mar 2023,L1293088,S132293601
78,Great Cormorant,Phalacrocorax carbo,1,Roosevelt Island,31 Mar 2023,L1293088,S132293601
77,Mute Swan,Cygnus olor,2,Roosevelt Island,31 Mar 2023,L1293088,S132293601
76,Brant,Branta bernicla,28,Roosevelt Island,31 Mar 2023,L1293088,S132293601
75,Chipping Sparrow,Spizella passerina,1,Central Park--The Pool,30 Mar 2023,L318103,S132253985
74,Black-crowned Night Heron,Nycticorax nycticorax,2,Central Park--The Pond and Hallett Sanctuary,30 Mar 2023,L765570,S132206006
73,Brown Thrasher,Toxostoma rufum,1,"Public Plaza, 745 Seventh Ave. (btwn 49th & 50th St.)",30 Mar 2023,L2388008,S132201289
72,Pine Warbler,Setophaga pinus,1,Central Park,28 Mar 2023,L191106,S132041551
71,Eastern Phoebe,Sayornis phoebe,3,Central Park,26 Mar 2023,L191106,S131887254
70,Ring-necked Duck,Aythya collaris,2,Central Park,26 Mar 2023,L191106,S131887254
69,Great Egret,Ardea alba,1,Inwood Hill Park,24 Mar 2023,L684740,S131713749
68,Rusty Blackbird,Euphagus carolinus,1,Central Park,24 Mar 2023,L191106,S131704998
67,Baltimore Oriole,Icterus galbula,1,Union Square Park,24 Mar 2023,L486424,S131669532
66,Double-crested Cormorant,Nannopterum auritum,1,Central Park,22 Mar 2023,L191106,S131521028
65,Northern Flicker,Colaptes auratus,1,Central Park,21 Mar 2023,L191106,S131443924
64,Yellow-bellied Sapsucker,Sphyrapicus varius,2,Central Park,21 Mar 2023,L191106,S131443924
63,Swainson's Thrush,Catharus ustulatus,1,Bryant Park (5th-6th Ave. btwn 40th-42nd St.),20 Mar 2023,L683555,S131422442
62,Brown-headed Cowbird,Molothrus ater,1,Central Park,18 Mar 2023,L191106,S131196474
61,Golden-crowned Kinglet,Regulus satrapa,3,Central Park,18 Mar 2023,L191106,S131196474
60,American Kestrel,Falco sparverius,1,Randalls Island,17 Mar 2023,L1293732,S131110197
59,Killdeer,Charadrius vociferus,4,Randalls Island,17 Mar 2023,L1293732,S131110197
58,American Woodcock,Scolopax minor,1,Bryant Park (5th-6th Ave. btwn 40th-42nd St.),09 Mar 2023,L683555,S130508880
57,Common Grackle,Quiscalus quiscula,,Central Park--Jacqueline Kennedy Onassis Reservoir,06 Mar 2023,L191107,S130306604
56,Green-winged Teal,Anas crecca,1,Central Park,04 Mar 2023,L191106,S130133732
55,Red-winged Blackbird,Agelaius phoeniceus,3,Central Park,20 Feb 2023,L191106,S129134793
54,Eastern Screech-Owl,Megascops asio,1,Inwood Hill Park,10 Feb 2023,L684740,S128027227
53,Gadwall,Mareca strepera,,Randalls Island,09 Feb 2023,L1293732,S127962073
52,Eurasian Eagle-Owl,Bubo bubo,1,Central Park--The Pond and Hallett Sanctuary,03 Feb 2023,L765570,S127525930
51,Common Loon,Gavia immer,1,Central Park--Jacqueline Kennedy Onassis Reservoir,26 Jan 2023,L191107,S126988020
50,Hairy Woodpecker,Dryobates villosus,1,Inwood Hill Park,26 Jan 2023,L684740,S126983016
49,Downy Woodpecker,Dryobates pubescens,5,Sherman Creek Park and Swindler Cove,26 Jan 2023,L1018912,S126964882
48,Northern Mockingbird,Mimus polyglottos,1,Sherman Creek Park and Swindler Cove,21 Jan 2023,L1018912,S126625891
47,Ruby-crowned Kinglet,Corthylio calendula,1,Sherman Creek Park and Swindler Cove,21 Jan 2023,L1018912,S126625891
46,American Crow,Corvus brachyrhynchos,4,Sherman Creek Park and Swindler Cove,21 Jan 2023,L1018912,S126625891
45,Herring Gull,Larus argentatus,2,Sherman Creek Park and Swindler Cove,21 Jan 2023,L1018912,S126625891
44,Swamp Sparrow,Melospiza georgiana,1,Union Square Park,20 Jan 2023,L486424,S126536815
43,Gray Catbird,Dumetella carolinensis,1,Central Park,18 Jan 2023,L191106,S126425729
42,Brown Creeper,Certhia americana,1,Central Park,18 Jan 2023,L191106,S126425729
41,Mourning Dove,Zenaida macroura,,Central Park,18 Jan 2023,L191106,S126425729
40,Eastern Towhee,Pipilo erythrophthalmus,1,Central Park,07 Jan 2023,L191106,S125612269
39,Dark-eyed Junco,Junco hyemalis,1,Central Park,07 Jan 2023,L191106,S125612269
38,Fox Sparrow,Passerella iliaca,1,Central Park,07 Jan 2023,L191106,S125612269
37,Carolina Wren,Thryothorus ludovicianus,1,Central Park,07 Jan 2023,L191106,S125612269
36,Red-breasted Nuthatch,Sitta canadensis,1,Central Park,07 Jan 2023,L191106,S125612269
